Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas2049     Pavarde2049    7    8    8    1    4    3       
Vardas2050     Pavarde2050    9    8    3    10   8    5       
Vardas2051     Pavarde2051    2    5    9    5    4    7       
Vardas2052     Pavarde2052    9    3    1    4    1    2       
Vardas2053     Pavarde2053    1    4    1    2    9    2       
Vardas2054     Pavarde2054    6    10   10   2    3    2       
Vardas2055     Pavarde2055    2    7    2    1    3    10      
Vardas2056     Pavarde2056    4    6    2    5    8    1       
Vardas2057     Pavarde2057    7    6    9    9    2    3       
Vardas2058     Pavarde2058    7    3    5    5    8    6       
Vardas2059     Pavarde2059    6    10   10   6    8    9       
Vardas2060     Pavarde2060    8    7    1    3    4    10      
Vardas2061     Pavarde2061    5    9    5    5    3    4       
Vardas2062     Pavarde2062    10   10   10   2    3    8       
Vardas2063     Pavarde2063    2    2    4    6    9    5       
Vardas2064     Pavarde2064    9    8    2    3    10   7       
Vardas2065     Pavarde2065    4    9    7    6    2    5       
Vardas2066     Pavarde2066    9    4    1    2    7    3       
Vardas2067     Pavarde2067    8    4    9    8    1    2       
Vardas2068     Pavarde2068    3    2    4    8    4    3       
Vardas2069     Pavarde2069    8    7    2    4    9    9       
Vardas2070     Pavarde2070    3    6    7    4    7    7       
Vardas2071     Pavarde2071    9    9    7    9    8    7       
Vardas2072     Pavarde2072    8    3    2    4    4    6       
Vardas2073     Pavarde2073    1    3    4    6    3    3       
Vardas2074     Pavarde2074    7    1    6    5    6    9       
Vardas2075     Pavarde2075    8    10   9    1    8    2       
Vardas2076     Pavarde2076    10   3    5    3    2    7       
Vardas2077     Pavarde2077    4    10   8    9    2    1       
Vardas2078     Pavarde2078    6    6    2    5    6    8       
Vardas2079     Pavarde2079    7    7    10   1    10   9       
Vardas2080     Pavarde2080    7    1    1    9    2    4       
Vardas2081     Pavarde2081    6    5    1    8    5    10      
Vardas2082     Pavarde2082    3    3    2    6    6    1       
Vardas2083     Pavarde2083    9    1    7    4    9    8       
Vardas2084     Pavarde2084    2    8    8    9    5    7       
Vardas2085     Pavarde2085    2    4    1    10   1    1       
Vardas2086     Pavarde2086    2    3    7    8    8    4       
Vardas2087     Pavarde2087    2    7    2    9    7    2       
Vardas2088     Pavarde2088    6    6    6    9    7    6       
Vardas2089     Pavarde2089    1    2    8    9    5    9       
Vardas2090     Pavarde2090    4    7    1    4    8    8       
Vardas2091     Pavarde2091    3    8    7    10   8    4       
Vardas2092     Pavarde2092    4    4    7    7    7    3       
Vardas2093     Pavarde2093    5    2    8    6    5    10      
Vardas2094     Pavarde2094    3    9    5    9    10   3       
Vardas2095     Pavarde2095    8    3    7    1    7    5       
Vardas2096     Pavarde2096    4    6    8    8    10   6       
Vardas2097     Pavarde2097    9    10   1    6    1    4       
Vardas2098     Pavarde2098    4    6    7    7    4    5       
Vardas2099     Pavarde2099    7    8    3    4    4    7       
Vardas2100     Pavarde2100    10   8    4    9    2    6       
Vardas2101     Pavarde2101    5    7    1    5    3    2       
Vardas2102     Pavarde2102    2    2    9    10   7    8       
Vardas2103     Pavarde2103    1    7    1    7    5    6       
Vardas2104     Pavarde2104    2    9    8    6    10   5       
Vardas2105     Pavarde2105    5    4    8    2    10   10      
Vardas2106     Pavarde2106    5    9    2    3    5    9       
Vardas2107     Pavarde2107    7    3    1    10   6    4       
Vardas2108     Pavarde2108    7    1    3    6    6    9       
Vardas2109     Pavarde2109    10   7    1    7    1    9       
Vardas2110     Pavarde2110    6    4    3    10   7    8       
Vardas2111     Pavarde2111    3    2    4    2    5    1       
Vardas2112     Pavarde2112    6    8    1    4    8    2       
Vardas2113     Pavarde2113    5    9    1    5    6    7       
Vardas2114     Pavarde2114    3    9    2    5    10   3       
Vardas2115     Pavarde2115    4    9    8    1    6    3       
Vardas2116     Pavarde2116    10   7    6    2    9    5       
Vardas2117     Pavarde2117    5    10   4    6    3    4       
Vardas2118     Pavarde2118    5    1    3    8    4    7       
Vardas2119     Pavarde2119    5    4    4    2    10   3       
Vardas2120     Pavarde2120    9    3    9    6    6    7       
Vardas2121     Pavarde2121    9    6    7    7    5    9       
Vardas2122     Pavarde2122    8    4    10   1    2    6       
Vardas2123     Pavarde2123    6    5    8    9    1    9       
Vardas2124     Pavarde2124    5    3    9    8    6    7       
Vardas2125     Pavarde2125    3    9    7    7    6    7       
Vardas2126     Pavarde2126    2    10   4    4    7    2       
Vardas2127     Pavarde2127    1    10   10   10   1    9       
Vardas2128     Pavarde2128    2    1    3    1    9    8       
Vardas2129     Pavarde2129    8    5    10   7    1    9       
Vardas2130     Pavarde2130    9    7    8    5    2    1       
Vardas2131     Pavarde2131    8    7    4    10   7    6       
Vardas2132     Pavarde2132    8    8    6    5    5    7       
Vardas2133     Pavarde2133    8    10   4    4    3    9       
Vardas2134     Pavarde2134    1    3    4    1    10   6       
Vardas2135     Pavarde2135    6    3    9    3    10   6       
Vardas2136     Pavarde2136    4    4    9    1    3    10      
Vardas2137     Pavarde2137    7    8    4    6    6    8       
Vardas2138     Pavarde2138    1    9    4    4    8    8       
Vardas2139     Pavarde2139    3    8    6    6    10   1       
Vardas2140     Pavarde2140    4    10   5    9    6    9       
Vardas2141     Pavarde2141    6    5    9    5    2    7       
Vardas2142     Pavarde2142    9    3    9    8    1    9       
Vardas2143     Pavarde2143    4    9    2    3    7    6       
Vardas2144     Pavarde2144    10   8    8    9    9    10      
Vardas2145     Pavarde2145    9    8    9    8    6    8       
Vardas2146     Pavarde2146    8    5    10   5    9    7       
Vardas2147     Pavarde2147    2    7    7    5    1    1       
Vardas2148     Pavarde2148    9    7    5    4    10   8       
Vardas2149     Pavarde2149    6    1    4    1    1    10      
Vardas2150     Pavarde2150    10   3    8    3    4    6       
Vardas2151     Pavarde2151    4    10   3    7    3    7       
Vardas2152     Pavarde2152    10   4    5    5    2    10      
Vardas2153     Pavarde2153    1    8    9    8    2    5       
Vardas2154     Pavarde2154    5    2    2    6    8    8       
Vardas2155     Pavarde2155    6    7    6    7    10   4       
Vardas2156     Pavarde2156    9    2    3    6    9    8       
Vardas2157     Pavarde2157    1    5    3    8    5    8       
Vardas2158     Pavarde2158    2    3    2    8    9    2       
Vardas2159     Pavarde2159    10   10   1    3    9    5       
Vardas2160     Pavarde2160    9    6    2    2    7    7       
Vardas2161     Pavarde2161    8    6    1    3    1    10      
Vardas2162     Pavarde2162    7    10   4    5    2    8       
Vardas2163     Pavarde2163    10   5    5    8    10   7       
Vardas2164     Pavarde2164    4    1    9    5    7    10      
Vardas2165     Pavarde2165    4    1    7    9    5    7       
Vardas2166     Pavarde2166    3    7    5    2    6    9       
Vardas2167     Pavarde2167    9    7    6    7    1    4       
Vardas2168     Pavarde2168    10   2    8    9    9    1       
Vardas2169     Pavarde2169    10   1    9    2    9    10      
Vardas2170     Pavarde2170    5    3    3    9    4    5       
Vardas2171     Pavarde2171    4    10   10   5    2    6       
Vardas2172     Pavarde2172    8    4    10   10   4    4       
Vardas2173     Pavarde2173    5    9    10   2    8    5       
Vardas2174     Pavarde2174    6    8    9    6    10   2       
Vardas2175     Pavarde2175    1    10   4    10   7    3       
Vardas2176     Pavarde2176    2    7    7    9    10   6       
Vardas2177     Pavarde2177    6    2    7    3    6    9       
Vardas2178     Pavarde2178    4    6    1    8    6    9       
Vardas2179     Pavarde2179    5    1    10   2    10   6       
Vardas2180     Pavarde2180    6    5    1    2    8    3       
Vardas2181     Pavarde2181    4    1    7    5    3    8       
Vardas2182     Pavarde2182    4    3    3    5    7    8       
Vardas2183     Pavarde2183    7    1    4    7    2    2       
Vardas2184     Pavarde2184    10   1    2    1    5    2       
Vardas2185     Pavarde2185    8    7    6    9    10   3       
Vardas2186     Pavarde2186    6    9    3    2    3    3       
Vardas2187     Pavarde2187    1    9    4    6    4    2       
Vardas2188     Pavarde2188    4    5    4    3    8    3       
Vardas2189     Pavarde2189    10   2    3    7    1    3       
Vardas2190     Pavarde2190    10   4    6    9    1    1       
Vardas2191     Pavarde2191    3    5    1    2    7    3       
Vardas2192     Pavarde2192    10   10   5    3    1    1       
Vardas2193     Pavarde2193    3    4    4    5    7    6       
Vardas2194     Pavarde2194    2    9    2    2    2    9       
Vardas2195     Pavarde2195    7    9    7    6    7    10      
Vardas2196     Pavarde2196    4    7    8    6    1    8       
Vardas2197     Pavarde2197    5    5    6    10   4    7       
Vardas2198     Pavarde2198    7    6    10   3    5    8       
Vardas2199     Pavarde2199    1    2    3    1    5    9       
Vardas2200     Pavarde2200    5    5    9    4    10   4       
Vardas2201     Pavarde2201    1    10   7    7    5    9       
Vardas2202     Pavarde2202    5    1    6    2    3    3       
Vardas2203     Pavarde2203    8    8    7    5    7    3       
Vardas2204     Pavarde2204    9    5    2    1    7    5       
Vardas2205     Pavarde2205    2    5    7    4    6    5       
Vardas2206     Pavarde2206    9    3    9    2    9    6       
Vardas2207     Pavarde2207    5    9    7    1    4    2       
Vardas2208     Pavarde2208    2    6    6    8    1    9       
Vardas2209     Pavarde2209    4    8    7    6    2    8       
Vardas2210     Pavarde2210    5    9    6    3    8    10      
Vardas2211     Pavarde2211    9    3    4    7    7    9       
Vardas2212     Pavarde2212    4    4    4    6    8    3       
Vardas2213     Pavarde2213    10   3    7    10   6    9       
Vardas2214     Pavarde2214    8    3    8    3    9    1       
Vardas2215     Pavarde2215    1    2    5    6    8    6       
Vardas2216     Pavarde2216    6    3    8    8    1    6       
Vardas2217     Pavarde2217    7    10   4    6    1    9       
Vardas2218     Pavarde2218    4    4    2    8    4    9       
Vardas2219     Pavarde2219    5    2    2    7    6    8       
Vardas2220     Pavarde2220    5    9    5    9    6    7       
Vardas2221     Pavarde2221    1    6    3    10   2    10      
Vardas2222     Pavarde2222    6    5    4    5    7    8       
Vardas2223     Pavarde2223    1    3    6    9    10   1       
Vardas2224     Pavarde2224    9    5    10   2    4    9       
Vardas2225     Pavarde2225    7    5    5    8    7    4       
Vardas2226     Pavarde2226    6    6    4    4    1    8       
Vardas2227     Pavarde2227    9    2    6    1    7    6       
Vardas2228     Pavarde2228    5    2    8    4    9    2       
Vardas2229     Pavarde2229    3    10   4    4    3    6       
Vardas2230     Pavarde2230    2    9    7    10   3    1       
Vardas2231     Pavarde2231    8    6    3    5    8    3       
Vardas2232     Pavarde2232    8    5    9    1    9    2       
Vardas2233     Pavarde2233    8    4    4    1    10   1       
Vardas2234     Pavarde2234    6    1    10   7    3    2       
Vardas2235     Pavarde2235    10   4    3    4    9    8       
Vardas2236     Pavarde2236    4    8    1    5    6    8       
Vardas2237     Pavarde2237    1    1    2    5    1    5       
Vardas2238     Pavarde2238    2    6    1    4    6    1       
Vardas2239     Pavarde2239    7    7    10   5    3    5       
Vardas2240     Pavarde2240    4    10   6    8    5    5       
Vardas2241     Pavarde2241    10   5    9    7    8    10      
Vardas2242     Pavarde2242    10   6    8    8    1    2       
Vardas2243     Pavarde2243    8    7    4    6    3    1       
